year,licitacao_id,modalidade,numero,codigo,objeto,situacao
2023,20313,PRD DISPENSA EXCETO PEQUENO VALOR,20/2023,60,"Dispensa de Chamamento Público para firmar Termo de Fomento entre o Município de São Borja e a Associação de Literatura e Beneficência - Centro de Formação Tereza Verzeri, com o objetivo de executar o projeto ""Mãos na Massa II Edição"", cuja finalidade é o provimento da demanda de atendimento educacional especial de alunos com deficiência intelectual e múltiplas. De acordo art. 30, inciso VI, da lei n° 13.019/2014, conforme solicitação de compras n° 44486, termo de referência e termo de fomento n° 002/2023/CS.",Homologada
2023,20358,INEXIGIBILIDADE,20/2023,103,"Contratação do show artístico musical da banda Claus & Vanessa, para celebrar o evento ""Arraial no Parcão"", que será realizado no dia 24 de junho de 2023.",Homologada
2023,20333,PREGÃO ELETRONICO,20/2023,78,Aquisição de bens permanentes (equipamentos e mobiliário) destinados ao projeto governamental Centro dia para Idosos,Homologada
2023,20337,PREGÃO ELETRONICO,21/2023,82,"Registro de preços para contratação de empresa para prestação de serviços gráficos e confecção de materiais gráficos, destinados ao uso de todas as Secretarias da Prefeitura Municipal de São Borja.",Anulada
2023,20366,INEXIGIBILIDADE,21/2023,106,"Espaço de publicidade em rádio com spots de 30 segundos visando a divulgação de conteúdo elaborado pela Secretaria Municipal da Saúde, de modo a levar informações de conscientização sobre as medidas de prevenção através da Vigilância em Saúde e ações de divulgação para promoção e prevenção em saúde. 268 inserções em dois meses.",Homologada
2023,20320,PRD DISPENSA EXCETO PEQUENO VALOR,21/2023,67,"Contratação direta do Serviço Brasileiro de Apoio às Micro e Pequenas Empresas (SEBRAE), para execução de cursos profissionalizantes que atendem às necessidades apontadas pelo Projeto Capacitar.",Homologada
2023,20367,INEXIGIBILIDADE,22/2023,107,"Espaço de publicidade em rádio com spots de 30 segundos visando a divulgação de conteúdo elaborado pela Secretaria Municipal da Saúde, de modo a levar informações de conscientização sobre as medidas de prevenção através da Vigilância em Saúde e ações de divulgação para promoção e prevenção em saúde. 268 inserções em dois meses.",Homologada
2023,20322,PRD DISPENSA EXCETO PEQUENO VALOR,22/2023,69,"Aquisição de gêneros alimentícios destinados à Casa de Acolhida, ao Centro do Idoso, ao Albergue Municipal, ao Restaurante Popular e aos Grupos de Convivência.",Homologada
2023,20339,PREGÃO ELETRONICO,22/2023,84,Registro de preços para contratação de empresa para prestação de serviços de sonorização destinado a todas as Secretarias Municipais.,Homologada
2023,20385,INEXIGIBILIDADE,23/2023,125,"Contratação de serviço de atendimentos de saúde destinado ao acompanhamento, avaliação, estimulação e orientação relacionados ao neurodesenvolvimento por meio da utilização de recursos físicos, comportamentais e práticas integrativas, com o objetivo de visar a aquisição de habilidades e desenvolvimento de funções cognitivas, motoras, sensoriais e executivas para a inclusão social do paciente.",Homologada
2023,20331,PRD DISPENSA EXCETO PEQUENO VALOR,23/2023,76,"Contratação de empresa para fornecimento de Cloud Computing (computação em nuvem), melhor descritas no termo de referência e demais documentos que integram o devido processo de dispensa.",Homologada
2023,20340,PREGÃO ELETRONICO,23/2023,85,Aquisição de cortinas persianas para as novas instalações da SAD e da SMDEID no 6º andar do Centro Administrativo Salvador Lionço Pereira Álvarez.,Homologada
2023,20341,PREGÃO ELETRONICO,24/2023,86,"Contratação de empresa especializada no ramo de prestação de serviços funerários com fornecimento de ataúdes, translados e demais serviços oriundos dessa natureza concedido a pessoas em situação de Vulnerabilidade Social.",Homologada
2023,20338,PRD DISPENSA EXCETO PEQUENO VALOR,24/2023,83,"Contratação de empresa para prestação de serviços de transporte escolar de alunos, na linha Rincão de Santana.",Homologada
2023,20390,INEXIGIBILIDADE,24/2023,130,"Contratação da empresa 644 Produções e Eventos LTDA, responsável pelo show musical com o Grupo Matizes que ocorrerá no evento Dias de Campo no dia 06/08/2023, em São Borja (RS).",Homologada
2023,20342,PREGÃO ELETRONICO,25/2023,87,"Registro de preços para aquisição de cadeiras novas para as dependências da Prefeitura Municipal de São Borja, bem como suas unidades subordinadas; conforme especificações detalhadas no termo de referência e no processo de compra nº 42011/2023.",Homologada
2023,20350,PRD DISPENSA EXCETO PEQUENO VALOR,25/2023,95,"Contratação direta do Serviço Nacional de Aprendizagem Comercial - SENAC/RS, para realização de curso profissional para jovens em situação de vulnerabilidade social cadastrados no CADÚNICO, por meio dos Centro de Referência em Assistência Social (CRAS).",Homologada
2023,20395,INEXIGIBILIDADE,25/2023,135,"Contratação de empresa para o desenvolvimento de novas funcionalidades, que compreende o diagnóstico, a análise de dados, a configuração e a parametrização, a fim de implementar a customização e o desenvolvimento de novas funcionalidades do projeto de integração e conversão de dados entre o sistema GIF (INFISC) e o Sistema de Gestão do Município (E-cidade).",Homologada
2023,20398,INEXIGIBILIDADE,26/2023,138,"Contratação de empresa especializada no fornecimento de atualização e assinatura de ferramenta de Software especializado para projeto estrutural de edificações em concreto armado e protendido, concreto pré-moldado, alvenaria estrutural e estruturas mistas. Maiores detalhes estão no Termo de Referência e demais documentos que integram o devido processo de Inexigibilidade.",Homologada
2023,20344,PREGÃO ELETRONICO,26/2023,89,"Registro de preço para a aquisição de carga de oxigênio medicinal, destinados aos pacientes usuários do SUS, assistidos pela Secretaria Municipal da Saúde, portadores de insuficiência pulmonar que fazem acompanhamento domiciliar, postos de saúde, ambulâncias e Programa SAMU",Homologada
2023,20353,PRD DISPENSA EXCETO PEQUENO VALOR,26/2023,98,"Locação de imóvel localizado na Rua Eddie Freire Nunes, n° 2100, Centro, com destinação ao atendimento das necessidades precípuas da administração, destinado ao centro de Atividade Multidisciplinar - CAM do Departamento Pedagógico da Secretaria Municipal de Educação.",Homologada
2023,20355,PRD DISPENSA EXCETO PEQUENO VALOR,27/2023,100,"Contratação direta do Serviço Nacional de Aprendizagem Comercial SENAC/RS, para aplicação de cursos profissionalizantes em diversas áreas, visando a inserção de profissionais no mercado de trabalho como forma de promoção social e cidadania.",Homologada
