funcao_acao,territorial_class,vendors,empenhos,pago_R$,share_within_funcao_acao
PREVIDÊNCIA SOCIAL | MANUTENÇÃO ADMINISTRATIVA DO FUNDO DE PR,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,8,46,50487.96,0.8151149634612256
CULTURA | REALIZAÇÃO E APOIO AOS FESTIVAIS DE MÚSI,LOCAL_EXACT_ACTIVE,1,2,637.86,0.010522641346956161
CULTURA | REALIZAÇÃO E APOIO AOS FESTIVAIS DE MÚSI,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,2,59980.0,0.9894773586530439
LEGISLATIVA | AQUISICAO DE EQUIPAMENTOS E MATERIAIS PE,LOCAL_EXACT_ACTIVE,4,4,44908.0,0.7821579918039568
LEGISLATIVA | AQUISICAO DE EQUIPAMENTOS E MATERIAIS PE,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,1,3880.91,0.0675934081226484
LEGISLATIVA | AQUISICAO DE EQUIPAMENTOS E MATERIAIS PE,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,3,8626.6,0.1502486000733948
ADMINISTRAÇÃO | AQUISIÇÃO DE COMBUSTÍVEIS E LUBRIFICANTES,LOCAL_EXACT_ACTIVE,1,1,50450.96,1.0
GESTÃO AMBIENTAL | MANUT. DO DEPART. DO BEM-ESTAR ANIMAL,LOCAL_EXACT_ACTIVE,1,2,49293.85,1.0
ASSISTÊNCIA SOCIAL | PROCAD - SUAS,LOCAL_EXACT_ACTIVE,1,1,739.0,0.01563028434215644
ASSISTÊNCIA SOCIAL | PROCAD - SUAS,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,1,884.16,0.018700503658945926
ASSISTÊNCIA SOCIAL | PROCAD - SUAS,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,5,6,45656.85,0.9656692119988975
SANEAMENTO | PROGRAMA DE SANEAMENTO BÁSICO RURAL,LOCAL_EXACT_ACTIVE,1,1,500.0,0.011574074074074073
SANEAMENTO | PROGRAMA DE SANEAMENTO BÁSICO RURAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,2,42700.0,0.9884259259259259
EDUCAÇÃO | MANUTENÇÃO DO TRANSPORTE ESCOLAR - EJA,LOCAL_EXACT_ACTIVE,1,1,42333.72,1.0
SAUDE | CONSTRUÇÃO E MANUTENÇÃO DO CAPS 1,LOCAL_EXACT_ACTIVE,5,19,21049.64,0.5109478207763433
SAUDE | CONSTRUÇÃO E MANUTENÇÃO DO CAPS 1,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,3,4721.06,0.11459651180515976
SAUDE | CONSTRUÇÃO E MANUTENÇÃO DO CAPS 1,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,27,38,15426.54,0.3744556674184969
SAUDE | MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA,LOCAL_EXACT_ACTIVE,1,1,690.0,0.016797615030798064
SAUDE | MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,2,4012.56,0.0976832437217088
SAUDE | MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,14,17,36374.7,0.8855191412474932
DESPORTO E LAZER | PROMOÇÃO DE EVENTOS ESPORTIVOS E DE LAZE,LOCAL_EXACT_ACTIVE,2,3,22510.0,0.5648611686177086
DESPORTO E LAZER | PROMOÇÃO DE EVENTOS ESPORTIVOS E DE LAZE,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,2,17340.5,0.4351388313822913
EDUCAÇÃO | FORMAÇÃO DE PROFESSORES E PROFISSIONAIS,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,2,34980.0,1.0
CULTURA | MANUTENÇÃO DOS MUSEUS,LOCAL_EXACT_ACTIVE,1,4,13006.92,0.3741358823169011
CULTURA | MANUTENÇÃO DOS MUSEUS,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,3,10,21758.31,0.625864117683099
SAUDE | PROGRAMA PRIMEIRA INFÂNCIA MELHOR - PIM,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,6,27215.7,0.9861586241457165
SAUDE | PROGRAMA PRIMEIRA INFÂNCIA MELHOR - PIM,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,1,381.99,0.013841375854283458
ASSISTÊNCIA SOCIAL | EXECUÇÃO DE EMENDAS PARL P/ ASSIST SOCIAL,LOCAL_EXACT_ACTIVE,1,3,14316.95,0.5369161621067198
