cnpj,expected_R$,observed_R$,difference_R$
36419348000165,331410.44,331410.44,0.0
36473417000119,179.76,179.76,0.0
36591545000167,35653.9,35653.9,-0.0
36757380000150,28226.82,28226.82,0.0
37272059000149,590.0,590.0,0.0
37364053000100,2985.0,2985.0,0.0
37406687000170,2672.4,2672.4,0.0
37766833000178,18900.0,18900.0,0.0
37885137000180,3300.0,3300.0,0.0
37952262000166,32200.0,32200.0,0.0
37954602000198,12240.0,12240.0,0.0
37968398000164,1269.6,1269.6,0.0
38259243000111,607.62,607.62,0.0
38303545000140,24567.15,24567.15,-0.0
38413979000100,925.0,925.0,0.0
39346590000144,705.0,705.0,0.0
39538437000119,1436.0,1436.0,0.0
39700820000121,1157.03,1157.03,0.0
39840107000183,752.8,752.8,0.0
39886474000118,4284.0,4284.0,0.0
40031401000123,17577.58,17577.58,0.0
40044357000196,4518.6,4518.6,0.0
40100470000141,57744.0,57744.0,0.0
40214888000180,15589.9,15589.9,0.0
40260072000192,5600.0,5600.0,0.0
40331916000149,12396.03,12396.03,-0.0
41032927000190,38997.32,38997.32,0.0
41098601000166,84000.0,84000.0,0.0
41277322000160,995.0,995.0,0.0
41278073000127,101.89,101.89,0.0
41507227000105,12292.07,12292.07,0.0
41876743000107,4968.0,4968.0,0.0
42188256000114,41863.95,41863.95,-0.0
42227547000174,9122.05,9122.05,0.0
42338388000185,15866.21,15866.21,0.0
42422253000101,3600.0,3600.0,0.0
42422253000284,1200.0,1200.0,0.0
42470027000198,45036.89,45036.89,0.0
42496258000170,2848.86,2848.86,0.0
42572060000129,27267.06,27267.06,-0.0
42753718000107,6999.9,6999.9,0.0
43074841000156,3054.94,3054.94,0.0
43463101000101,820642.47,820642.47,-0.0
43496899000198,8536.36,8536.36,0.0
43613995000179,6000.0,6000.0,0.0
43644303000150,120.0,120.0,0.0
43678415000121,65.0,65.0,0.0
44133337000142,10235.96,10235.96,0.0
44223526000106,2806.08,2806.08,0.0
44233812000152,1221733.83,1221733.83,0.0
44449147000139,58077.32,58077.32,-0.0
44639579000102,10474.3,10474.3,0.0
44734671000151,1595.0,1595.0,0.0
44734671002286,103584.31,103584.31,0.0
44880091000172,1590.0,1590.0,0.0
44918033000190,5850.0,5850.0,0.0
44946936000185,141990.92,141990.92,-0.0
45232778000164,2833.25,2833.25,-0.0
45767888000120,47810.0,47810.0,0.0
46381269000166,9222.5,9222.5,0.0
46388826000170,16496.7,16496.7,0.0
46529034000179,7689.16,7689.16,0.0
46615867000152,2684.0,2684.0,0.0
46728867000169,61687.96,61687.96,0.0
46794528000180,502.0,502.0,0.0
46924137000133,1436.8,1436.8,0.0
47076858000101,17080.0,17080.0,0.0
47459386000168,20449.0,20449.0,0.0
47484691000100,5350.95,5350.95,0.0
47701463000144,23876.79,23876.79,0.0
47820174000164,46680.0,46680.0,0.0
47960950000121,3880.91,3880.91,0.0
48057203000140,7304.2,7304.2,0.0
48283528000141,2031.7,2031.7,0.0
48346978000136,15505.8,15505.8,0.0
48360651000119,4700.0,4700.0,0.0
48552166000147,7194.0,7194.0,0.0
48566347000122,42559.0,42559.0,0.0
48670007000147,4379.2,4379.2,0.0
48911914000130,10680.0,10680.0,0.0
48994988000188,5599.86,5599.86,0.0
49333270000103,84012.8,84012.8,0.0
49591832000119,901.92,901.92,0.0
49644526000101,1511.76,1511.76,0.0
49648233000194,27733.4,27733.4,0.0
49673898000158,5115.79,5115.79,0.0
50210605000185,2787.8,2787.8,0.0
50301713000163,4540.0,4540.0,0.0
50373558000190,2100.0,2100.0,0.0
50445599000145,3080.0,3080.0,0.0
50591089000186,2401.3,2401.3,-0.0
50625983000120,50985.9,50985.9,-0.0
51222177000173,280.0,280.0,0.0
51365151000184,25983.11,25983.11,0.0
51560442000123,46155.7,46155.7,0.0
51601943000100,83165.13,83165.13,0.0
51659136000149,6274.76,6274.76,-0.0
51740794000160,3148.8,3148.8,0.0
51892897000146,5137.6,5137.6,0.0
51954194000103,15839.0,15839.0,0.0
51978129000100,90376.26,90376.26,0.0
52126556000122,1000.0,1000.0,0.0
52159781000165,2610.0,2610.0,0.0
52229661000197,80.0,80.0,0.0
52339425000123,2062.0,2062.0,0.0
52496119000109,11150.0,11150.0,0.0
52692151000151,41907.74,41907.74,0.0
52735169000193,716.0,716.0,0.0
52815475000130,222.75,222.75,0.0
52932346000121,1400.0,1400.0,0.0
52966856000110,195.0,195.0,0.0
52977047000103,20000.0,20000.0,0.0
52996455000102,3404.7,3404.7,0.0
53292332000153,673.2,673.2,0.0
53308814000154,2000.0,2000.0,0.0
53326285000111,257950.0,257950.0,0.0
53665245000102,312.0,312.0,0.0
53800800000153,32216.0,32216.0,0.0
53893980000165,703.0,703.0,0.0
54040457000159,400.0,400.0,0.0
54084848000175,6071.0,6071.0,0.0
54152890000186,2118.0,2118.0,0.0
54154953000133,948.0,948.0,0.0
54647123000148,2430.0,2430.0,0.0
54808865000108,2190.0,2190.0,0.0
54887860000118,130475.2,130475.2,0.0
55240764000146,2656.24,2656.24,0.0
55482667000160,1840.9,1840.9,0.0
55498031000106,150.0,150.0,0.0
55571406000116,9490.0,9490.0,0.0
55589237000141,7553.4,7553.4,0.0
55623647000161,110213.78,110213.78,0.0
55675690000170,8447.62,8447.62,0.0
55695599000117,1127.96,1127.96,0.0
55818205000170,970.0,970.0,0.0
55875621000100,11830.0,11830.0,0.0
56004897000186,5174.7,5174.7,0.0
56170867000140,187200.0,187200.0,0.0
57530637000107,90012.64,90012.64,0.0
57775539000130,24980.0,24980.0,0.0
58158024000153,10935.0,10935.0,0.0
58390067000160,18700.0,18700.0,0.0
58421861000123,4365.82,4365.82,0.0
58472229000109,1500.0,1500.0,0.0
58951274000146,27681.79,27681.79,0.0
59058520000106,2490.0,2490.0,0.0
59131363000109,5315.0,5315.0,0.0
59215212000139,810.0,810.0,0.0
59566602000153,510.0,510.0,0.0
59584939000193,19101.05,19101.05,0.0
59777691000187,4175.95,4175.95,0.0
59820838000174,14025.0,14025.0,0.0
60173263000124,4653.99,4653.99,0.0
60282790000177,566.0,566.0,0.0
60614430000125,229.25,229.25,0.0
60845283000102,2760.0,2760.0,0.0
61198164000160,5296.65,5296.65,0.0
61237085000110,489.55,489.55,-0.0
61518314000175,2198.0,2198.0,0.0
61602199023244,8400.0,8400.0,0.0
61645182000142,38865.0,38865.0,0.0
61787241000117,80331.13,80331.13,0.0
62201240000101,14164.4,14164.4,0.0
62234180000123,1659.6,1659.6,0.0
62925921000112,1989.9,1989.9,0.0
63155462000106,48000.0,48000.0,0.0
63679550000107,2415.0,2415.0,0.0
63732144000152,15093.62,15093.62,-0.0
64179473000180,816.0,816.0,0.0
64313681000120,14734.0,14734.0,0.0
64919605000163,350.0,350.0,0.0
65120204000101,25200.0,25200.0,0.0
65665504000176,5265.0,5265.0,0.0
65996648000105,9639.6,9639.6,0.0
66610727000107,9500.0,9500.0,0.0
67729178000572,359.04,359.04,-0.0
72150550000106,3248.1,3248.1,0.0
72309164000106,111402.5,111402.5,0.0
72309164000297,15980.0,15980.0,0.0
73193211000161,1165.5,1165.5,0.0
73856593000166,53863.4,53863.4,0.0
73865008000194,7951.4,7951.4,0.0
73887663000143,5299.5,5299.5,0.0
73993362000102,909.07,909.07,0.0
74386038000695,1563.0,1563.0,0.0
74913013000198,63000.0,63000.0,0.0
75014167000100,1440.0,1440.0,0.0
76386283000113,15039.94,15039.94,0.0
76535764000143,10512.51,10512.51,0.0
76669670000167,946469.38,946469.38,-0.0
81706251000198,1914.0,1914.0,0.0
82225947000165,1491.0,1491.0,0.0
87124582000104,18455.2,18455.2,0.0
87296026014833,26757.7,26757.7,0.0
87519237000161,35000.0,35000.0,0.0
87581195000199,115740.11,115740.11,0.0
87975280000131,8910.0,8910.0,0.0
88409537000150,146937.32,146937.32,0.0
88489430000160,4277.0,4277.0,0.0
88594544000684,1730.0,1730.0,0.0
88733811000142,44560.47,44560.47,0.0
88993175000198,11640.0,11640.0,0.0
89100135000132,3900.0,3900.0,0.0
89161475000173,130058.25,130058.25,0.0
89225544000246,75.51,75.51,0.0
89225932000146,477929.4,477929.4,0.0
89271464000146,5976.7,5976.7,0.0
89342497000563,892.59,892.59,0.0
89510838000139,182.0,182.0,0.0
89511083000197,30262.0,30262.0,0.0
89522064000166,307.3,307.3,0.0
89704522000188,39200.0,39200.0,0.0
89818686000136,5905.69,5905.69,0.0
89989255000132,23930.0,23930.0,0.0
90073974000198,36621.0,36621.0,0.0
90180605000102,59289.21,59289.21,0.0
90188525000195,130999.65,130999.65,0.0
90217225000197,39500.0,39500.0,0.0
90327297000197,130999.4,130999.4,0.0
90519018000197,462.0,462.0,0.0
90791377000107,11415.75,11415.75,0.0
90791609000119,130819.73,130819.73,0.0
90791922000157,517057.1,517057.1,0.0
91083212000135,8019.42,8019.42,0.0
91252635000131,3531.9,3531.9,0.0
91421511000132,967.0,967.0,0.0
91525790000184,124900.0,124900.0,0.0
91525790002128,1578.63,1578.63,0.0
91572792000205,298153.84,298153.84,0.0
92021062000106,11500.0,11500.0,0.0
92581933000138,13799.0,13799.0,0.0
92691104000108,8375.5,8375.5,0.0
92695790000195,216.78,216.78,0.0
92702067000196,40350.94,40350.94,0.0
92802784000190,641771.07,641771.07,0.0
92823764000103,1558.98,1558.98,0.0
92859768000133,12334.08,12334.08,0.0
92883834000100,728.88,728.88,0.0
92885888000105,41484.67,41484.67,0.0
92945153000120,1046.0,1046.0,0.0
92954106000142,68047.2,68047.2,0.0
92954957000195,502035.24,502035.24,0.0
93088649000197,10208.4,10208.4,0.0
93254555000140,180.0,180.0,0.0
93641710003369,6828.69,6828.69,0.0
93641710003873,3026.37,3026.37,0.0
94282845000160,319628.8,319628.8,0.0
94389400000184,10297.13,10297.13,0.0
94516671000153,25048.04,25048.04,0.0
94963576001501,4709.25,4709.25,0.0
95592077000104,313928.1,313928.1,0.0
96418264002859,14881.4,14881.4,0.0
96488598000189,28342657.23,28342657.23,0.0
97530228000125,16200.5,16200.5,0.0
98102924000101,22600.0,22600.0,0.0
98102924013939,3939.06,3939.06,0.0
