item,cluster_id,descricao_item,quantidade,rank_final,cnpj,nome_participante,status_final,valor_global_final_R$,valor_unitario_final_R$,territorial_class,geo_tier,uf,municipio,root_local_active_count,winner_cnpj,winner_geo_tier,winner_value_global_R$,premium_vs_winner_pct
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,6,01189295000159,Ricardo Ferreira de Carvalho,Classificado,19800.0,5.5,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,PORTO ALEGRE,0,37683566000175,RS_OTHER,14580.0,35.8025
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,7,60699174000116,60.699.174 ALANA GABRIELLI SANTOS ARAUJO,Classificado,19836.0,5.51,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,PORTAO,0,37683566000175,RS_OTHER,14580.0,36.0494
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,8,49392317000290,SOLARSERV PC MATERIAIS E SOLUCOES FOTOVOLTAICAS LTDA,Classificado,21816.0,6.06,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,SC,FLORIANOPOLIS,0,37683566000175,RS_OTHER,14580.0,49.6296
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,9,05117514000145,Instalart Materiais Elétricos LTDA,Classificado,25200.0,7.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ESPUMOSO,0,37683566000175,RS_OTHER,14580.0,72.8395
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,10,21867049000116,USIFER - TERMO CONEXOES LTDA,Classificado,26856.0,7.46,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,MG,POCOS DE CALDAS,0,37683566000175,RS_OTHER,14580.0,84.1975
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,11,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,Classificado,30600.0,8.5,LOCAL_EXACT_ACTIVE,SAO_BORJA,RS,SAO BORJA,2,37683566000175,RS_OTHER,14580.0,109.8765
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,12,52299446000162,LUX COMERCIAL LTDA,Classificado,54000.0,15.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,SALVADOR DO SUL,0,37683566000175,RS_OTHER,14580.0,270.3704
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,13,39538437000119,UTILAR COMERCIO DE FERRAGEM LTDA,Classificado,151488.0,42.08,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ITAQUI,0,37683566000175,RS_OTHER,14580.0,939.0123
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,14,11175931000147,MASTERFER COMERCIO DE FERRAGENS LTDA,Classificado,36000000.0,10000.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ERECHIM,0,37683566000175,RS_OTHER,14580.0,246813.5802
35,T05,"CABO PP 4 X 10,00 MM 1KV",2115,1,50246619000159,D33D COMERCIO LTDA,Arrematante,68018.4,32.16,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,RJ,NOVA FRIBURGO,0,50246619000159,OTHER_UF,68018.4,0.0
35,T05,"CABO PP 4 X 10,00 MM 1KV",2115,2,32005178000111,EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES E AUTOMACAO EIRELI,Classificado,77409.0,36.6,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,SP,SAO PAULO,0,50246619000159,OTHER_UF,68018.4,13.806
35,T05,"CABO PP 4 X 10,00 MM 1KV",2115,3,01189295000159,Ricardo Ferreira de Carvalho,Classificado,95175.0,45.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,PORTO ALEGRE,0,50246619000159,OTHER_UF,68018.4,39.9254
35,T05,"CABO PP 4 X 10,00 MM 1KV",2115,4,05117514000145,Instalart Materiais Elétricos LTDA,Classificado,105750.0,50.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ESPUMOSO,0,50246619000159,OTHER_UF,68018.4,55.4726
35,T05,"CABO PP 4 X 10,00 MM 1KV",2115,5,21867049000116,USIFER - TERMO CONEXOES LTDA,Classificado,110149.2,52.08,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,MG,POCOS DE CALDAS,0,50246619000159,OTHER_UF,68018.4,61.9403
35,T05,"CABO PP 4 X 10,00 MM 1KV",2115,6,49392317000290,SOLARSERV PC MATERIAIS E SOLUCOES FOTOVOLTAICAS LTDA,Classificado,117826.65,55.71,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,SC,FLORIANOPOLIS,0,50246619000159,OTHER_UF,68018.4,73.2276
35,T05,"CABO PP 4 X 10,00 MM 1KV",2115,7,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,Classificado,131130.0,62.0,LOCAL_EXACT_ACTIVE,SAO_BORJA,RS,SAO BORJA,2,50246619000159,OTHER_UF,68018.4,92.7861
35,T05,"CABO PP 4 X 10,00 MM 1KV",2115,8,52299446000162,LUX COMERCIAL LTDA,Classificado,211500.0,100.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,SALVADOR DO SUL,0,50246619000159,OTHER_UF,68018.4,210.9453
35,T05,"CABO PP 4 X 10,00 MM 1KV",2115,9,11175931000147,MASTERFER COMERCIO DE FERRAGENS LTDA,Classificado,21150000.0,10000.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ERECHIM,0,50246619000159,OTHER_UF,68018.4,30994.5274
36,T05,"CABO PP 4 X 10,00 MM 1KV A autenticidade do documento pode ser verificada no site https://validaarquivo.portaldecompraspublicas.com.br Documento gerado eletronicamente no Portal de Compras Públicas em 25/08/2026 às 14:44:29. Código verificador: 176D2C9 Página 159 de 229",705,1,50246619000159,D33D COMERCIO LTDA,Arrematante,22672.8,32.16,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,RJ,NOVA FRIBURGO,0,50246619000159,OTHER_UF,22672.8,0.0
36,T05,"CABO PP 4 X 10,00 MM 1KV A autenticidade do documento pode ser verificada no site https://validaarquivo.portaldecompraspublicas.com.br Documento gerado eletronicamente no Portal de Compras Públicas em 25/08/2026 às 14:44:29. Código verificador: 176D2C9 Página 159 de 229",705,2,32005178000111,EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES E AUTOMACAO EIRELI,Classificado,25803.0,36.6,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,SP,SAO PAULO,0,50246619000159,OTHER_UF,22672.8,13.806
36,T05,"CABO PP 4 X 10,00 MM 1KV A autenticidade do documento pode ser verificada no site https://validaarquivo.portaldecompraspublicas.com.br Documento gerado eletronicamente no Portal de Compras Públicas em 25/08/2026 às 14:44:29. Código verificador: 176D2C9 Página 159 de 229",705,3,01189295000159,Ricardo Ferreira de Carvalho,Classificado,31725.0,45.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,PORTO ALEGRE,0,50246619000159,OTHER_UF,22672.8,39.9254
36,T05,"CABO PP 4 X 10,00 MM 1KV A autenticidade do documento pode ser verificada no site https://validaarquivo.portaldecompraspublicas.com.br Documento gerado eletronicamente no Portal de Compras Públicas em 25/08/2026 às 14:44:29. Código verificador: 176D2C9 Página 159 de 229",705,4,05117514000145,Instalart Materiais Elétricos LTDA,Classificado,35250.0,50.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ESPUMOSO,0,50246619000159,OTHER_UF,22672.8,55.4726
36,T05,"CABO PP 4 X 10,00 MM 1KV A autenticidade do documento pode ser verificada no site https://validaarquivo.portaldecompraspublicas.com.br Documento gerado eletronicamente no Portal de Compras Públicas em 25/08/2026 às 14:44:29. Código verificador: 176D2C9 Página 159 de 229",705,5,21867049000116,USIFER - TERMO CONEXOES LTDA,Classificado,36716.4,52.08,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,MG,POCOS DE CALDAS,0,50246619000159,OTHER_UF,22672.8,61.9403
36,T05,"CABO PP 4 X 10,00 MM 1KV A autenticidade do documento pode ser verificada no site https://validaarquivo.portaldecompraspublicas.com.br Documento gerado eletronicamente no Portal de Compras Públicas em 25/08/2026 às 14:44:29. Código verificador: 176D2C9 Página 159 de 229",705,6,49392317000290,SOLARSERV PC MATERIAIS E SOLUCOES FOTOVOLTAICAS LTDA,Classificado,39275.55,55.71,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,SC,FLORIANOPOLIS,0,50246619000159,OTHER_UF,22672.8,73.2276
36,T05,"CABO PP 4 X 10,00 MM 1KV A autenticidade do documento pode ser verificada no site https://validaarquivo.portaldecompraspublicas.com.br Documento gerado eletronicamente no Portal de Compras Públicas em 25/08/2026 às 14:44:29. Código verificador: 176D2C9 Página 159 de 229",705,7,52299446000162,LUX COMERCIAL LTDA,Classificado,70500.0,100.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,SALVADOR DO SUL,0,50246619000159,OTHER_UF,22672.8,210.9453
36,T05,"CABO PP 4 X 10,00 MM 1KV A autenticidade do documento pode ser verificada no site https://validaarquivo.portaldecompraspublicas.com.br Documento gerado eletronicamente no Portal de Compras Públicas em 25/08/2026 às 14:44:29. Código verificador: 176D2C9 Página 159 de 229",705,8,11175931000147,MASTERFER COMERCIO DE FERRAGENS LTDA,Classificado,7050000.0,10000.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ERECHIM,0,50246619000159,OTHER_UF,22672.8,30994.5274
36,T05,"CABO PP 4 X 10,00 MM 1KV A autenticidade do documento pode ser verificada no site https://validaarquivo.portaldecompraspublicas.com.br Documento gerado eletronicamente no Portal de Compras Públicas em 25/08/2026 às 14:44:29. Código verificador: 176D2C9 Página 159 de 229",705,9,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,Desclassificado,2749.5,3.9,LOCAL_EXACT_ACTIVE,SAO_BORJA,RS,SAO BORJA,2,50246619000159,OTHER_UF,22672.8,
41,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - PRETO, ATOX",1500,1,05117514000145,Instalart Materiais Elétricos LTDA,Arrematante,28500.0,19.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ESPUMOSO,0,05117514000145,RS_OTHER,28500.0,0.0
41,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - PRETO, ATOX",1500,2,21867049000116,USIFER - TERMO CONEXOES LTDA,Classificado,29475.0,19.65,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,MG,POCOS DE CALDAS,0,05117514000145,RS_OTHER,28500.0,3.4211
41,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - PRETO, ATOX",1500,3,32005178000111,EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES E AUTOMACAO EIRELI,Classificado,32475.0,21.65,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,SP,SAO PAULO,0,05117514000145,RS_OTHER,28500.0,13.9474
41,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - PRETO, ATOX",1500,4,01189295000159,Ricardo Ferreira de Carvalho,Classificado,52500.0,35.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,PORTO ALEGRE,0,05117514000145,RS_OTHER,28500.0,84.2105
