id_credor,cnpj,nome_credor,pago_R$,classificacao,exact_situacao,exact_uf,exact_municipio_tom,exact_municipio_nome,root_local_active_count
153360,19390998000297,GAMBATTO H1 VEICULOS LTDA,91000.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8785,PASSO FUNDO,0
149575,51978129000100,ARPL DISTRIBUIDORA LTDA,90376.26,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,9823,BOM PRINCIPIO,0
153367,33084691000299,ESSENCE DECOR LTDA,90363.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8619,CRUZ ALTA,0
8381,29979036027693,INSTITUTO NACIONAL DE SEGURO SOCIAL - IN,89452.35,ROOT_WITH_LOCAL_FOOTPRINT,02,RS,8951,URUGUAIANA,1
70465,03652030000170,CENTERMEDI COMÉRCIO DE PRODUTOS HOSPITAL,87816.1,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8533,BARAO DE COTEGIPE,0
152555,61787241000117,TALISON HENRICK VIANA DOS SANTOS,86664.53,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
150388,20230791000668,CEMITERIO E CREMATORIO MEMORIAL ANGELOS,85291.81,LOCAL_EXACT,02,RS,8863,SAO BORJA,4
148723,49333270000103,D C METZ COMERCIAL,84012.8,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8717,IVOTI,0
148629,41098601000166,MC FARMA LTDA,84000.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,SC,8161,ITAJAI,0
153193,51601943000100,J. M. DE BITTENCOURT & CIA. LTDA.,83165.13,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8425,DOUTOR MAURICIO CARDOSO,0
70527,10748403000177,INSTITUTO DE ANATOMIA PATOLOGICA E CITOP,82609.52,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8853,SANTO ANGELO,0
69283,04210265000175,ESSENCIAL ASSESSORIA TRIBUTÁRIA LTDA,82107.92,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8577,CAMPO BOM,0
46766,07759909000177,ANDRES EDITORA JORNALISTICA LTDA.,81242.15,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
69113,30544566000145,LINDOMAR CRUZ LOPES 95654461087,79037.0,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
70461,02520829000140,DIMASTER COMERCIO DE PRODUTOS HOSPITALAR,75766.25,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8533,BARAO DE COTEGIPE,0
149843,10439851000512,CASSOL COMERCIO E TRANSPORTE DE GAS LTDA,75537.27,LOCAL_EXACT,02,RS,8863,SAO BORJA,2
149914,22525517000137,J.F COMERCIO DE MATERIAL E MEDICAMENTOS,71440.1,EXTERNAL_NO_LOCAL_FOOTPRINT,02,SC,8195,LONTRAS,0
127702,05457283000208,MINISTERIO DO TURISMO,70977.88,EXTERNAL_NO_LOCAL_FOOTPRINT,02,DF,9701,BRASILIA,0
151852,07236167000103,TRI TELECOM LTDA,70320.62,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
70474,12889035000102,INOVAMED HOSPITALAR LTDA,70242.26,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8637,ERECHIM,0
19929,92954106000142,VIACAO OURO E PRATA S/A,68047.2,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
153039,11606789000145,FALCAO EPI''S LTDA,66248.85,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8851,SANTIAGO,0
127706,05465986000601,MINISTERIO DAS CIDADES,65929.79,EXTERNAL_NO_LOCAL_FOOTPRINT,02,DF,9701,BRASILIA,0
70468,07752236000123,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRO,63493.47,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8957,VERA CRUZ,0
143108,74913013000198,CHULIPA AVALIACOES S/S,63000.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
