item,descricao,quantidade,unidade,valor_unit_ref_R$,familia,valor_estimado_item_R$,source_class,source_url,status
67,Disjuntor DIN unipolar 40A,370,un,7.30,PROTECAO_DISTRIBUICAO,2701.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
68,Caixa octogonal 4x4,360,un,4.40,INFRA_INSTALACAO,1584.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
69,Abraçadeira nylon 4mm x 300mm,8100,un,0.19,FERRAGENS_FIXACAO,1539.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
70,"Cabo flexível cobre 1,5mm azul",2000,m,1.01,CONDUTORES,2020.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
71,"Cabo flexível cobre 1,5mm verde",2000,m,1.01,CONDUTORES,2020.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
72,"Cabo flexível cobre 2,5mm azul",2500,m,2.10,CONDUTORES,5250.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
73,"Cabo flexível cobre 2,5mm verde",2500,m,2.10,CONDUTORES,5250.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
74,"Cabo flexível cobre 2,5mm preto",2500,m,2.10,CONDUTORES,5250.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
75,Cabo flexível cobre 4mm azul,1850,m,3.09,CONDUTORES,5716.50,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
76,Cabo flexível cobre 4mm verde,1850,m,3.09,CONDUTORES,5716.50,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
77,Cabo flexível cobre 4mm preto,1850,m,3.09,CONDUTORES,5716.50,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
78,Cabo flexível cobre 6mm azul,4000,m,4.21,CONDUTORES,16840.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
79,Cabo flexível cobre 6mm verde,4000,m,4.21,CONDUTORES,16840.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
80,Cabo flexível cobre 6mm preto,4000,m,4.21,CONDUTORES,16840.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
81,Cabo flexível cobre 10mm azul,2500,m,9.18,CONDUTORES,22950.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
82,Cabo flexível cobre 10mm verde,2500,m,9.18,CONDUTORES,22950.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
83,Cabo flexível cobre 10mm vermelho,2500,m,9.18,CONDUTORES,22950.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
84,Cabo flexível cobre 25mm azul,1300,m,18.95,CONDUTORES,24635.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
85,Cabo flexível cobre 25mm verde,1300,m,18.95,CONDUTORES,24635.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
86,Cabo flexível cobre 25mm preto,1300,m,18.95,CONDUTORES,24635.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
