_annex_requested,_exercise,anexo,cod_conta,cod_ibge,coluna,conta,exercicio,rotulo
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.01.1.0,4318002,Receitas Brutas Realizadas,1.7.2.8.01.1.0 Cota-Parte do ICMS,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.01.1.0,4318002,Deduções - FUNDEB,1.7.2.8.01.1.0 Cota-Parte do ICMS,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.01.2.0,4318002,Receitas Brutas Realizadas,1.7.2.8.01.2.0 Cota-Parte do IPVA,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.01.2.0,4318002,Deduções - FUNDEB,1.7.2.8.01.2.0 Cota-Parte do IPVA,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.01.3.0,4318002,Receitas Brutas Realizadas,1.7.2.8.01.3.0 Cota-Parte do IPI - Municípios,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.01.3.0,4318002,Deduções - FUNDEB,1.7.2.8.01.3.0 Cota-Parte do IPI - Municípios,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.01.3.0,4318002,Outras Deduções da Receita,1.7.2.8.01.3.0 Cota-Parte do IPI - Municípios,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.01.4.0,4318002,Receitas Brutas Realizadas,1.7.2.8.01.4.0 Cota-Parte da Contribuição de Intervenção no Domínio Econômico,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.03.0.0,4318002,Receitas Brutas Realizadas,1.7.2.8.03.0.0 Transferência de Recursos do Estado para Programas de Saúde ¿ Repasse Fundo a Fundo,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.10.0.0,4318002,Receitas Brutas Realizadas,1.7.2.8.10.0.0 Transferência de Convênios dos Estados e do Distrito Federal e de Suas Entidades,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.10.2.0,4318002,Receitas Brutas Realizadas,1.7.2.8.10.2.0 Transferências de Convênio dos Estados Destinadas a Programas de Educação,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.99.0.0,4318002,Receitas Brutas Realizadas,1.7.2.8.99.0.0 Outras Transferências dos Estados,2019,Padrão
