_annex_requested,_exercise,anexo,cod_conta,cod_ibge,coluna,conta,exercicio,instituicao,populacao,rotulo,uf,valor
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.01.0.0,4318002,Deduções - FUNDEB,1.7.1.8.01.0.0 Participação na Receita da União,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,7095806.32
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.01.2.0,4318002,Receitas Brutas Realizadas,1.7.1.8.01.2.0 Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,32148530.05
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.01.2.0,4318002,Deduções - FUNDEB,1.7.1.8.01.2.0 Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,6429705.69
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.01.3.0,4318002,Receitas Brutas Realizadas,1.7.1.8.01.3.0 Cota-Parte do Fundo de Participação do Municípios ¿ 1% Cota entregue no mês de dezembro,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,1418774.09
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.01.4.0,4318002,Receitas Brutas Realizadas,1.7.1.8.01.4.0 Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,1366357.02
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.01.5.0,4318002,Receitas Brutas Realizadas,1.7.1.8.01.5.0 Cota-Parte do Imposto Sobre a Propriedade Territorial Rural,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,3330503.83
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.01.5.0,4318002,Deduções - FUNDEB,1.7.1.8.01.5.0 Cota-Parte do Imposto Sobre a Propriedade Territorial Rural,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,666100.63
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.02.0.0,4318002,Receitas Brutas Realizadas,1.7.1.8.02.0.0 Transferência da Compensação Financeira pela Exploração de Recursos Naturais,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,495341.36
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.02.6.0,4318002,Receitas Brutas Realizadas,1.7.1.8.02.6.0 Cota-Parte do Fundo Especial do Petróleo ¿ FEP,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,495341.36
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.03.0.0,4318002,Receitas Brutas Realizadas,"1.7.1.8.03.0.0 Transferência de Recursos do Sistema Único de Saúde ¿ 
 SUS ¿ Bloco Custeio das Ações e Serviços Públicos de Saúde",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,26606763.25
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.03.1.0,4318002,Receitas Brutas Realizadas,1.7.1.8.03.1.0 - Transferência de Recursos do SUS ¿ Atenção Básica,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,6090392.46
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.03.2.0,4318002,Receitas Brutas Realizadas,1.7.1.8.03.2.0 - Transferência de Recursos do SUS ¿ Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,19638193.42
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.03.3.0,4318002,Receitas Brutas Realizadas,1.7.1.8.03.3.0 - Transferência de Recursos do SUS ¿ Vigilância em Saúde,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,458114.64
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.03.4.0,4318002,Receitas Brutas Realizadas,1.7.1.8.03.4.0 - Transferência de Recursos do SUS ¿ Assistência Farmacêutica,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,394062.73
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.03.5.0,4318002,Receitas Brutas Realizadas,1.7.1.8.03.5.0 - Transferência de Recursos do SUS ¿ Gestão do SUS,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,26000
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.04.0.0,4318002,Receitas Brutas Realizadas,1.7.1.8.04.0.0 Transferências de Recursos do Sistema Único de Saúde ¿ SUS - Bloco Investimentos na Rede de Serviços Públicos de Saúde,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,108000
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.04.1.0,4318002,Receitas Brutas Realizadas,1.7.1.8.04.1.0 - Transferências de Recursos do Sistema Único de Saúde ¿ SUS destinados à Atenção Básica,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,108000
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.05.0.0,4318002,Receitas Brutas Realizadas,1.7.1.8.05.0.0 Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação ¿ FNDE,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,2745073.6
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.05.1.0,4318002,Receitas Brutas Realizadas,1.7.1.8.05.1.0 Transferências do Salário-Educação,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,2008678.11
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.05.3.0,4318002,Receitas Brutas Realizadas,1.7.1.8.05.3.0 Transferências Diretas do FNDE referentes ao Programa Nacional de Alimentação Escolar ¿ PNAE,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,604008
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.05.4.0,4318002,Receitas Brutas Realizadas,1.7.1.8.05.4.0 Transferências Diretas do FNDE referentes ao Programa Nacional de Apoio ao Transporte do Escolar ¿ PNATE,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,132387.49
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.08.0.0,4318002,Receitas Brutas Realizadas,1.7.1.8.08.0.0 Transferências Advindas de Emendas Parlamentares Individuais,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,1790000
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.12.0.0,4318002,Receitas Brutas Realizadas,1.7.1.8.12.0.0 - Transferências de Recursos do Fundo Nacional de Assistência Social ¿ FNAS,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,1330302.1
