year,function,stage,value_R$,source,nature
2021,08 - Assistência Social,Despesas Liquidadas,6194598.77,SICONFI DCA Anexo I-E,observed
2021,09 - Previdência Social,Despesas Liquidadas,25717835.39,SICONFI DCA Anexo I-E,observed
2021,10 - Saúde,Despesas Liquidadas,70905694.31,SICONFI DCA Anexo I-E,observed
2021,12 - Educação,Despesas Liquidadas,48234228.05,SICONFI DCA Anexo I-E,observed
2021,13 - Cultura,Despesas Liquidadas,172832.25,SICONFI DCA Anexo I-E,observed
2021,14 - Direitos da Cidadania,Despesas Liquidadas,1263.76,SICONFI DCA Anexo I-E,observed
2021,15 - Urbanismo,Despesas Liquidadas,10136960.54,SICONFI DCA Anexo I-E,observed
2021,16 - Habitação,Despesas Liquidadas,1363.15,SICONFI DCA Anexo I-E,observed
2021,17 - Saneamento,Despesas Liquidadas,172426.36,SICONFI DCA Anexo I-E,observed
2021,18 - Gestão Ambiental,Despesas Liquidadas,129499.45,SICONFI DCA Anexo I-E,observed
2021,20 - Agricultura,Despesas Liquidadas,158213.83,SICONFI DCA Anexo I-E,observed
2021,23 - Comércio e Serviços,Despesas Liquidadas,171262.19,SICONFI DCA Anexo I-E,observed
2021,26 - Transporte,Despesas Liquidadas,132389.43,SICONFI DCA Anexo I-E,observed
2021,27 - Desporto e Lazer,Despesas Liquidadas,132672.13,SICONFI DCA Anexo I-E,observed
2021,28 - Encargos Especiais,Despesas Liquidadas,10663971.93,SICONFI DCA Anexo I-E,observed
2021,01 - Legislativa,Despesas Pagas,6250750.38,SICONFI DCA Anexo I-E,observed
2021,04 - Administração,Despesas Pagas,23917106.02,SICONFI DCA Anexo I-E,observed
2021,06 - Segurança Pública,Despesas Pagas,311351.47,SICONFI DCA Anexo I-E,observed
2021,08 - Assistência Social,Despesas Pagas,6116100.63,SICONFI DCA Anexo I-E,observed
2021,09 - Previdência Social,Despesas Pagas,25717835.39,SICONFI DCA Anexo I-E,observed
2021,10 - Saúde,Despesas Pagas,69957168.15,SICONFI DCA Anexo I-E,observed
2021,12 - Educação,Despesas Pagas,47631021.49,SICONFI DCA Anexo I-E,observed
2021,13 - Cultura,Despesas Pagas,167999.81,SICONFI DCA Anexo I-E,observed
2021,14 - Direitos da Cidadania,Despesas Pagas,1263.76,SICONFI DCA Anexo I-E,observed
2021,15 - Urbanismo,Despesas Pagas,9322858.2,SICONFI DCA Anexo I-E,observed
2021,16 - Habitação,Despesas Pagas,1363.15,SICONFI DCA Anexo I-E,observed
2021,17 - Saneamento,Despesas Pagas,157927.16,SICONFI DCA Anexo I-E,observed
2021,18 - Gestão Ambiental,Despesas Pagas,129376.95,SICONFI DCA Anexo I-E,observed
2021,20 - Agricultura,Despesas Pagas,158213.83,SICONFI DCA Anexo I-E,observed
2021,23 - Comércio e Serviços,Despesas Pagas,167220.19,SICONFI DCA Anexo I-E,observed
2021,26 - Transporte,Despesas Pagas,132389.43,SICONFI DCA Anexo I-E,observed
2021,27 - Desporto e Lazer,Despesas Pagas,131137.13,SICONFI DCA Anexo I-E,observed
2021,28 - Encargos Especiais,Despesas Pagas,10460773.56,SICONFI DCA Anexo I-E,observed
2022,01 - Legislativa,Despesas Empenhadas,7970814.97,SICONFI DCA Anexo I-E,observed
2022,04 - Administração,Despesas Empenhadas,31578198.48,SICONFI DCA Anexo I-E,observed
2022,06 - Segurança Pública,Despesas Empenhadas,651646.59,SICONFI DCA Anexo I-E,observed
2022,08 - Assistência Social,Despesas Empenhadas,6981344.91,SICONFI DCA Anexo I-E,observed
2022,09 - Previdência Social,Despesas Empenhadas,33244078.09,SICONFI DCA Anexo I-E,observed
2022,10 - Saúde,Despesas Empenhadas,87476181.29,SICONFI DCA Anexo I-E,observed
2022,11 - Trabalho,Despesas Empenhadas,1246.0,SICONFI DCA Anexo I-E,observed
2022,12 - Educação,Despesas Empenhadas,63177929.69,SICONFI DCA Anexo I-E,observed
2022,13 - Cultura,Despesas Empenhadas,342566.79,SICONFI DCA Anexo I-E,observed
2022,14 - Direitos da Cidadania,Despesas Empenhadas,1730.13,SICONFI DCA Anexo I-E,observed
2022,15 - Urbanismo,Despesas Empenhadas,24668106.27,SICONFI DCA Anexo I-E,observed
2022,16 - Habitação,Despesas Empenhadas,3782.0,SICONFI DCA Anexo I-E,observed
2022,17 - Saneamento,Despesas Empenhadas,18410.7,SICONFI DCA Anexo I-E,observed
2022,18 - Gestão Ambiental,Despesas Empenhadas,24964.16,SICONFI DCA Anexo I-E,observed
2022,20 - Agricultura,Despesas Empenhadas,1439189.21,SICONFI DCA Anexo I-E,observed
2022,23 - Comércio e Serviços,Despesas Empenhadas,5247150.08,SICONFI DCA Anexo I-E,observed
2022,26 - Transporte,Despesas Empenhadas,876268.16,SICONFI DCA Anexo I-E,observed
2022,27 - Desporto e Lazer,Despesas Empenhadas,340650.44,SICONFI DCA Anexo I-E,observed
2022,28 - Encargos Especiais,Despesas Empenhadas,11999973.74,SICONFI DCA Anexo I-E,observed
2022,01 - Legislativa,Despesas Liquidadas,7835514.71,SICONFI DCA Anexo I-E,observed
2022,04 - Administração,Despesas Liquidadas,29098050.53,SICONFI DCA Anexo I-E,observed
2022,06 - Segurança Pública,Despesas Liquidadas,511206.72,SICONFI DCA Anexo I-E,observed
2022,08 - Assistência Social,Despesas Liquidadas,6800874.7,SICONFI DCA Anexo I-E,observed
2022,09 - Previdência Social,Despesas Liquidadas,33244078.09,SICONFI DCA Anexo I-E,observed
2022,10 - Saúde,Despesas Liquidadas,85050802.58,SICONFI DCA Anexo I-E,observed
2022,11 - Trabalho,Despesas Liquidadas,1246.0,SICONFI DCA Anexo I-E,observed
2022,12 - Educação,Despesas Liquidadas,61979327.47,SICONFI DCA Anexo I-E,observed
2022,13 - Cultura,Despesas Liquidadas,334366.62,SICONFI DCA Anexo I-E,observed
2022,14 - Direitos da Cidadania,Despesas Liquidadas,1727.1,SICONFI DCA Anexo I-E,observed
2022,15 - Urbanismo,Despesas Liquidadas,16604069.29,SICONFI DCA Anexo I-E,observed
2022,16 - Habitação,Despesas Liquidadas,3782.0,SICONFI DCA Anexo I-E,observed
2022,17 - Saneamento,Despesas Liquidadas,17290.7,SICONFI DCA Anexo I-E,observed
2022,18 - Gestão Ambiental,Despesas Liquidadas,24964.16,SICONFI DCA Anexo I-E,observed
2022,20 - Agricultura,Despesas Liquidadas,1345236.83,SICONFI DCA Anexo I-E,observed
2022,23 - Comércio e Serviços,Despesas Liquidadas,219324.37,SICONFI DCA Anexo I-E,observed
2022,26 - Transporte,Despesas Liquidadas,628800.3,SICONFI DCA Anexo I-E,observed
2022,27 - Desporto e Lazer,Despesas Liquidadas,336980.34,SICONFI DCA Anexo I-E,observed
2022,28 - Encargos Especiais,Despesas Liquidadas,11999973.74,SICONFI DCA Anexo I-E,observed
2022,01 - Legislativa,Despesas Pagas,7835514.71,SICONFI DCA Anexo I-E,observed
2022,04 - Administração,Despesas Pagas,28811091.34,SICONFI DCA Anexo I-E,observed
2022,06 - Segurança Pública,Despesas Pagas,508113.02,SICONFI DCA Anexo I-E,observed
2022,08 - Assistência Social,Despesas Pagas,6697788.55,SICONFI DCA Anexo I-E,observed
2022,09 - Previdência Social,Despesas Pagas,33244078.09,SICONFI DCA Anexo I-E,observed
2022,10 - Saúde,Despesas Pagas,83395597.79,SICONFI DCA Anexo I-E,observed
2022,11 - Trabalho,Despesas Pagas,1246.0,SICONFI DCA Anexo I-E,observed
2022,12 - Educação,Despesas Pagas,61116408.44,SICONFI DCA Anexo I-E,observed
2022,13 - Cultura,Despesas Pagas,333486.62,SICONFI DCA Anexo I-E,observed
2022,14 - Direitos da Cidadania,Despesas Pagas,1727.1,SICONFI DCA Anexo I-E,observed
2022,15 - Urbanismo,Despesas Pagas,16583212.94,SICONFI DCA Anexo I-E,observed
2022,16 - Habitação,Despesas Pagas,3782.0,SICONFI DCA Anexo I-E,observed
2022,17 - Saneamento,Despesas Pagas,17290.7,SICONFI DCA Anexo I-E,observed
2022,18 - Gestão Ambiental,Despesas Pagas,24964.16,SICONFI DCA Anexo I-E,observed
2022,20 - Agricultura,Despesas Pagas,1345236.83,SICONFI DCA Anexo I-E,observed
2022,23 - Comércio e Serviços,Despesas Pagas,217039.37,SICONFI DCA Anexo I-E,observed
2022,26 - Transporte,Despesas Pagas,628800.3,SICONFI DCA Anexo I-E,observed
2022,27 - Desporto e Lazer,Despesas Pagas,336299.34,SICONFI DCA Anexo I-E,observed
2022,28 - Encargos Especiais,Despesas Pagas,11704046.67,SICONFI DCA Anexo I-E,observed
2023,01 - Legislativa,Despesas Empenhadas,8929483.91,SICONFI DCA Anexo I-E,observed
2023,04 - Administração,Despesas Empenhadas,33314630.26,SICONFI DCA Anexo I-E,observed
2023,06 - Segurança Pública,Despesas Empenhadas,896277.87,SICONFI DCA Anexo I-E,observed
2023,08 - Assistência Social,Despesas Empenhadas,9037259.71,SICONFI DCA Anexo I-E,observed
2023,09 - Previdência Social,Despesas Empenhadas,39028115.18,SICONFI DCA Anexo I-E,observed
2023,10 - Saúde,Despesas Empenhadas,101808025.95,SICONFI DCA Anexo I-E,observed
2023,11 - Trabalho,Despesas Empenhadas,301.3,SICONFI DCA Anexo I-E,observed
2023,12 - Educação,Despesas Empenhadas,68125640.73,SICONFI DCA Anexo I-E,observed
2023,13 - Cultura,Despesas Empenhadas,957269.42,SICONFI DCA Anexo I-E,observed
2023,14 - Direitos da Cidadania,Despesas Empenhadas,43909.63,SICONFI DCA Anexo I-E,observed
2023,15 - Urbanismo,Despesas Empenhadas,17054318.04,SICONFI DCA Anexo I-E,observed
2023,16 - Habitação,Despesas Empenhadas,534482.25,SICONFI DCA Anexo I-E,observed
2023,17 - Saneamento,Despesas Empenhadas,46078.0,SICONFI DCA Anexo I-E,observed
2023,18 - Gestão Ambiental,Despesas Empenhadas,66575.43,SICONFI DCA Anexo I-E,observed
2023,20 - Agricultura,Despesas Empenhadas,234734.3,SICONFI DCA Anexo I-E,observed
2023,23 - Comércio e Serviços,Despesas Empenhadas,391944.83,SICONFI DCA Anexo I-E,observed
2023,26 - Transporte,Despesas Empenhadas,577225.66,SICONFI DCA Anexo I-E,observed
2023,27 - Desporto e Lazer,Despesas Empenhadas,1479421.25,SICONFI DCA Anexo I-E,observed
2023,28 - Encargos Especiais,Despesas Empenhadas,15700304.34,SICONFI DCA Anexo I-E,observed
2023,01 - Legislativa,Despesas Liquidadas,8605807.98,SICONFI DCA Anexo I-E,observed
