regime,position_date,page,cnae,count
SINAC,12/09/2026,4,8130300,46
SINAC,12/09/2026,4,8211300,28
SINAC,12/09/2026,4,8219901,2
SINAC,12/09/2026,4,8219999,106
SINAC,12/09/2026,4,8230001,39
SINAC,12/09/2026,4,8230002,6
SINAC,12/09/2026,4,8291100,13
SINAC,12/09/2026,4,8299703,1
SINAC,12/09/2026,4,8299705,1
SINAC,12/09/2026,4,8299706,4
SINAC,12/09/2026,4,8299707,3
SINAC,12/09/2026,4,8299799,9
SINAC,12/09/2026,4,8511200,3
SINAC,12/09/2026,4,8531700,2
SINAC,12/09/2026,4,8550302,1
SINAC,12/09/2026,4,8591100,3
SINAC,12/09/2026,4,8592901,2
SINAC,12/09/2026,4,8592902,1
SINAC,12/09/2026,4,8592903,2
SINAC,12/09/2026,4,8592999,14
SINAC,12/09/2026,4,8593700,2
SINAC,12/09/2026,4,8599601,2
SINAC,12/09/2026,4,8599603,6
SINAC,12/09/2026,4,8599604,50
SINAC,12/09/2026,4,8599605,8
SINAC,12/09/2026,4,8599699,68
SINAC,12/09/2026,4,8610102,8
SINAC,12/09/2026,4,8630502,3
SINAC,12/09/2026,4,8630503,38
SINAC,12/09/2026,4,8630504,20
SINAC,12/09/2026,4,8630599,1
SINAC,12/09/2026,4,8640201,1
SINAC,12/09/2026,4,8640202,4
SINAC,12/09/2026,4,8640207,1
SINAC,12/09/2026,4,8650001,1
SINAC,12/09/2026,4,8650003,14
SINAC,12/09/2026,4,8650004,12
SINAC,12/09/2026,4,8650005,3
SINAC,12/09/2026,4,8650006,3
SINAC,12/09/2026,4,8660700,3
SINAC,12/09/2026,4,8690901,5
SINAC,12/09/2026,4,8711502,1
SINAC,12/09/2026,4,8712300,49
SINAC,12/09/2026,4,8800600,1
SINAC,12/09/2026,4,8888888,1
SINAC,12/09/2026,4,9001902,22
SINAC,12/09/2026,4,9001905,1
SINAC,12/09/2026,4,9001906,10
SINAC,12/09/2026,5,9001999,2
SINAC,12/09/2026,5,9311500,6
SINAC,12/09/2026,5,9312300,3
SINAC,12/09/2026,5,9313100,19
SINAC,12/09/2026,5,9329803,2
SINAC,12/09/2026,5,9329804,2
SINAC,12/09/2026,5,9329899,6
SINAC,12/09/2026,5,9511800,39
SINAC,12/09/2026,5,9512600,14
SINAC,12/09/2026,5,9521500,14
SINAC,12/09/2026,5,9529101,2
SINAC,12/09/2026,5,9529102,7
SINAC,12/09/2026,5,9529104,4
SINAC,12/09/2026,5,9529105,17
SINAC,12/09/2026,5,9529106,1
SINAC,12/09/2026,5,9529199,2
SINAC,12/09/2026,5,9601701,10
SINAC,12/09/2026,5,9601703,1
SINAC,12/09/2026,5,9602501,287
SINAC,12/09/2026,5,9602502,98
SINAC,12/09/2026,5,9603301,1
SINAC,12/09/2026,5,9603304,2
SINAC,12/09/2026,5,9609206,11
SINAC,12/09/2026,5,9609207,4
SINAC,12/09/2026,5,9609208,17
SINAC,12/09/2026,5,9609299,16
SINAC,12/09/2026,5,9700500,184
SIMEI,12/09/2026,1,0159801,1
SIMEI,12/09/2026,1,0159802,1
SIMEI,12/09/2026,1,0161002,9
SIMEI,12/09/2026,1,0161003,43
SIMEI,12/09/2026,1,0162802,1
SIMEI,12/09/2026,1,0322104,1
SIMEI,12/09/2026,1,1013901,3
SIMEI,12/09/2026,1,1031700,2
SIMEI,12/09/2026,1,1032599,1
SIMEI,12/09/2026,1,1061902,4
SIMEI,12/09/2026,1,1091101,29
SIMEI,12/09/2026,1,1091102,57
SIMEI,12/09/2026,1,1092900,2
SIMEI,12/09/2026,1,1093701,1
SIMEI,12/09/2026,1,1094500,1
SIMEI,12/09/2026,1,1096100,4
SIMEI,12/09/2026,1,1099604,2
SIMEI,12/09/2026,1,1340599,3
SIMEI,12/09/2026,1,1351100,3
SIMEI,12/09/2026,1,1359600,23
SIMEI,12/09/2026,1,1411801,1
SIMEI,12/09/2026,1,1412601,27
SIMEI,12/09/2026,1,1412602,36
SIMEI,12/09/2026,1,1412603,3
SIMEI,12/09/2026,1,1422300,6
SIMEI,12/09/2026,1,1529700,2
SIMEI,12/09/2026,1,1622699,7
SIMEI,12/09/2026,1,1629301,4
SIMEI,12/09/2026,1,1732000,2
SIMEI,12/09/2026,1,1749400,3
SIMEI,12/09/2026,1,1813001,1
SIMEI,12/09/2026,1,1813099,5
SIMEI,12/09/2026,1,1821100,3
SIMEI,12/09/2026,1,2229399,2
SIMEI,12/09/2026,1,2330399,3
SIMEI,12/09/2026,1,2342702,1
SIMEI,12/09/2026,1,2349499,3
SIMEI,12/09/2026,1,2391503,3
SIMEI,12/09/2026,1,2399101,1
SIMEI,12/09/2026,1,2512800,8
