cnpj,nome_credor,rubrica,empenhos,empenhado_R$,anulado_R$,liquidado_R$,pago_R$
15170395000148,LABORATORIO DE ANALISES CLINICAS SAO BOR,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4,261999.92,37858.08,130486.62,130486.62
54887860000118,MM PRODUTOS AUTOMOTIVOS LTDA.,MATERIAL DE CONSUMO,24,135389.8,191.4,130475.2,130475.2
89161475000173,ASSOC RIOGR DE EMPR DE ASSIST TEC E EXTE,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,2,196100.25,0.0,130058.25,130058.25
02960111000175,LABORATORIO DE ANALISES CLINICAS RIGO LT,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4,224571.36,1152.09,129381.4,129381.4
00394460005887,MINISTERIO DA FAZENDA,JUROS SOBRE A DÍVIDA POR CONTRATO,18,128517.07,0.0,128517.07,128517.07
27105456000172,MEDICENTRO COMERCIO DE MEDICAMENTOS LTDA,MATERIAL DE CONSUMO,6,163173.16,0.0,125184.36,125184.36
91525790000184,FELICE AUTOMOVEIS LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,1,124900.0,0.0,124900.0,124900.0
29979036000140,I.N.S.S - INST. NAC. SEG. SOCIAL,OBRIGAÇÕES PATRONAIS,24,340804.32,174184.32,123226.65,123226.65
08371527000134,LUCIANO MACHADO CORREA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,7,168022.4,20427.15,147446.48,122458.25
05782733000149,CIAMED - DISTRIBUIDORA DE MEDICAMENTOS L,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",9,168250.0,15181.6,120562.0,120562.0
87581195000199,ASILO SAO VICENTE DE PAULA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,3,301409.75,0.0,115740.11,115740.11
00394460005887,MINISTERIO DA FAZENDA,PRINCIPAL DA DÍVIDA POR CONTRATO,18,113476.86,0.0,113476.86,113476.86
55623647000161,GAMA PNEUS LTDA,MATERIAL DE CONSUMO,7,110213.78,0.0,110213.78,110213.78
07201428000141,K-NON COMERCIO DE PECAS PRA CAMINHOES LT,MATERIAL DE CONSUMO,12,108854.0,0.0,108854.0,108854.0
87581195000199,ASILO SAO VICENTE DE PAULA,SUBVENÇÕES SOCIAIS,1,108312.0,0.0,108312.0,108312.0
26391065000107,MEDBORJA MEDICOS ASSOCIADOS S/S LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4,193827.35,10197.18,108203.41,108203.41
30893349000160,VITALE LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,6,191140.8,4307.38,108038.5,108038.5
14767899000187,GRA ASSESSORIA E CONSULTORIA EMNEGOCIOS,MATERIAL DE CONSUMO,28,128382.8,14655.5,105501.5,105501.5
09674510000119,LOPES  GRUENDEMANN COMERCIO DE MATERIAIS,MATERIAL DE CONSUMO,22,123867.56,8729.6,104260.66,104260.66
44734671002286,CRISTÁLIA PRODUTOS QUIMICOS FARMACEUTICO,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",13,114038.61,0.5,114038.11,103584.31
92962869001530,ASSOCIAÇÃO DE LITERATURA E BENEFICÊNCIA,SUBVENÇÕES SOCIAIS,2,102500.0,103.87,102396.13,100000.0
05144411000174,JOSE AUGUSTO DA SILVA RODRIGUES & CIA LT,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,5,174024.27,0.0,96648.46,96648.46
06294126000100,SOMA/RS PRODUTOS HOSPITALARES LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",19,122125.03,203.36,93269.92,93269.92
30050141000180,INLEGIS CONSULTORIA E TREINAMENTO EIRELI,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,46,107539.2,1960.0,93196.2,93196.2
