rank,cnpj,nome_credor,pago_core_R$,share_core,territorial_class,exact_situacao,exact_uf,exact_municipio_tom,exact_municipio_nome,root_local_active_count,rubricas_core,empenhos_core
52,02264781000157,CISMISSOES,165040.54,0.002290973149541335,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8419,ENTRE IJUIS,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,10
53,00964245000139,BRINGHENTTI INDUSTRIA E COMERCIO LTDA,164400.0,0.002282081637545511,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SC,8081,CHAPECO,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",2
54,08967207000141,INFISC - INTELIGÊNCIA EM TECNOLOGIA LTDA,163023.5,0.002262974062277376,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8927,TAQUARA,0,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,2
55,00331788006583,AIR LIQUIDE BRASIL LTDA,163023.04,0.0022629676768907993,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8841,SANTA MARIA,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",12
56,03990925000115,PLANET PAV COMERCIO DE ASFALTOS LTDA,157350.0,0.002184218647614271,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8649,ESTANCIA VELHA,0,MATERIAL DE CONSUMO,5
57,11666105000362,DELLAMED S.A.,154204.13,0.0021405499605029253,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SC,8221,NAVEGANTES,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",7
58,23870217000158,GLOBAL MED SERVICOS EM SAUDE LTDA,149085.3,0.002069494072737006,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,7
59,88409537000150,EMPRESA SÃO BORJENSE DE COMUNICAÇÕES LT,146937.32,0.002039677371302608,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,2,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,7
60,02405070000155,OLINA IRACEMA BALBE CORREA LTDA,146780.77,0.002037504257675128,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8857,SANTO ANTONIO DAS MISSOES,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,9
61,00000000018724,BANCO DO BRASIL S/A,146609.82,0.002035131253685235,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,659
62,44946936000185,ASSOC. GRUPO DE MÃES ESPEC. DE SÃO BORJA,141990.92,0.0019710150318138302,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,6
63,08345339000131,DE ROSSO TRANSPORTES LTDA,136549.55,0.001895481877555369,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,9
64,28556068000170,AEF LABORATÓRIO DE ANÁLISES CLÍNICAS EIR,130999.96,0.0018184464916982754,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4
65,08379462000173,WM PESQUISAS CLÍNICAS LTDA,130999.96,0.0018184464916982754,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4
66,90188525000195,LABORAN LABORATORIO DE BIOANALISES LTDA,130999.65,0.0018184421885029734,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4
67,90327297000197,LABORATORIO APPEL DE ANALISES CLINICAS L,130999.4,0.0018184387181841815,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4
68,90791609000119,DF - ANALISES CLINICAS LTDA.,130819.73,0.0018159446694748275,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,3,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4
69,15170395000148,LABORATORIO DE ANALISES CLINICAS SAO BOR,130486.62,0.0018113206779037643,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4
70,54887860000118,MM PRODUTOS AUTOMOTIVOS LTDA.,130475.2,0.0018111621537413509,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,6063,SAO PEDRO DO BUTIA,0,MATERIAL DE CONSUMO,24
71,01304858000102,ETIO AMARILHO MATTES & CIA LTDA,130062.3,0.001805430575224669,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,95
72,89161475000173,ASSOC RIOGR DE EMPR DE ASSIST TEC E EXTE,130058.25,0.00180537435606024,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,2
73,02960111000175,LABORATORIO DE ANALISES CLINICAS RIGO LT,129381.4,0.0017959788149630826,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,2,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4
74,27105456000172,MEDICENTRO COMERCIO DE MEDICAMENTOS LTDA,125184.36,0.0017377185478338612,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8841,SANTA MARIA,0,MATERIAL DE CONSUMO,6
75,91525790000184,FELICE AUTOMOVEIS LTDA,124900.0,0.0017337712684272163,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,02,RS,8851,SANTIAGO,1,EQUIPAMENTOS E MATERIAL PERMANENTE,1
76,08371527000134,LUCIANO MACHADO CORREA,122458.25,0.0016998766647868468,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,7
77,05782733000149,CIAMED - DISTRIBUIDORA DE MEDICAMENTOS L,120562.0,0.0016735542967503767,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8633,ENCANTADO,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",9
78,87581195000199,ASILO SAO VICENTE DE PAULA,115740.11,0.0016066203148327105,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,3
79,72309164000106,BATAIOLLI BOMBAS INJETORAS LTDA.,111402.5,0.0015464087568531862,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,2,MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,50
80,55623647000161,GAMA PNEUS LTDA,110213.78,0.0015299078074360142,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8543,BOA VISTA DO BURICA,0,MATERIAL DE CONSUMO,7
81,07201428000141,K-NON COMERCIO DE PECAS PRA CAMINHOES LT,108854.0,0.0015110323270886806,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO,12
82,26391065000107,MEDBORJA MEDICOS ASSOCIADOS S/S LTDA,108203.41,0.001502001308277423,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4
83,30893349000160,VITALE LTDA,108038.5,0.001499712147189542,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,6
84,09674510000119,LOPES  GRUENDEMANN COMERCIO DE MATERIAIS,104260.66,0.0014472709106105584,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO,22
85,44734671002286,CRISTÁLIA PRODUTOS QUIMICOS FARMACEUTICO,103584.31,0.0014378823101509847,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SP,6553,ITAPIRA,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",13
86,05144411000174,JOSE AUGUSTO DA SILVA RODRIGUES & CIA LT,96648.46,0.0013416038677801208,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,5
87,06294126000100,SOMA/RS PRODUTOS HOSPITALARES LTDA,93269.92,0.0012947054243755403,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8423,ELDORADO DO SUL,0,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",19
88,30050141000180,INLEGIS CONSULTORIA E TREINAMENTO EIRELI,93196.2,0.0012936820967701884,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,46
89,23643693000136,AUTO PEÇAS IRMÃOS ROBALO LTDA,92379.01,0.0012823384575160169,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,53
90,26991097000135,SIGMA MAQUINAS E REPRESENTACOES LTDA,91200.0,0.0012659722952807215,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,MG,5049,POUSO ALEGRE,0,EQUIPAMENTOS E MATERIAL PERMANENTE,1
